-0.10379,-0.25514,Negative
-0.28633,0.08817,Negative
0.016119,-0.31739,Negative
-0.068298,-0.26069,Negative
0.044772,-0.15673,Negative
-0.022632,-0.23861,Negative
0.17705,0.22509,Negative
0.037804,-0.22835,Negative
-0.12699,0.1115,Negative
-0.011459,0.10479,Negative
0.20776,-0.11473,Negative
0.11099,0.04395,Negative
0.16106,0.11486,Negative
0.26027,-0.21942,Negative
-0.2705,0.096236,Negative
0.12115,-0.057401,Negative
-0.087405,0.074911,Negative
-0.25087,0.045457,Negative
-0.024845,-0.1527,Negative
0.03112,0.19038,Negative
0.34417,-0.29802,Negative
-0.24012,0.10864,Negative
0.20028,0.093307,Negative
-0.0069751,0.026523,Negative
0.084621,-0.1247,Negative
-0.28276,-0.087101,Negative
-0.16016,-0.2841,Negative
-0.10527,-0.1945,Negative
-0.19547,-0.14578,Negative
-0.022901,-0.19944,Negative
-0.34854,-0.084192,Negative
-0.31955,-0.16166,Negative
0.35835,-0.017783,Negative
-0.22019,-0.17784,Negative
0.14275,-0.31266,Negative
-0.12944,-0.080748,Negative
-0.11774,0.018207,Negative
0.022727,-0.16352,Negative
-0.032167,0.17145,Negative
-0.30821,-0.14649,Negative
-0.24769,0.023917,Negative
-0.085071,0.34167,Negative
0.19299,-0.060521,Negative
-0.070717,0.34768,Negative
-0.38614,0.37015,Negative
-0.20531,0.15522,Negative
0.16466,-0.29649,Negative
0.10662,0.29053,Negative
-0.30785,0.11403,Negative
-0.21988,0.068126,Negative
0.086313,-0.44219,Negative
0.27573,-0.061394,Negative
0.12701,0.27592,Negative
0.34598,-0.15133,Negative
-0.31446,0.069435,Negative
0.073526,-0.317,Negative
-0.028031,-0.0429,Negative
-0.0030634,-0.0256,Negative
0.050554,-0.022555,Negative
-0.10128,0.16758,Negative
-0.1042,0.37954,Negative
-0.23574,-0.22186,Negative
0.11512,0.046032,Negative
-0.13393,-0.10008,Negative
0.060159,0.12165,Negative
0.37366,0.20758,Negative
0.27456,-0.20692,Negative
0.1944,0.052076,Negative
-0.054067,0.24863,Negative
