-0.27907,0.37522
0.60652,0.81807
-0.19263,-0.41241
0.06495,0.85486
0.40745,0.037402
-0.27807,1.169
0.32704,1.6031
0.56875,0.18954
0.61178,0.84774
0.98054,0.05688
0.36726,0.16576
1.0155,0.91505
0.62495,1.0141
0.2325,1.4725
0.31276,1.5177
-0.025583,0.56789
0.17021,0.14064
0.083544,1.3204
0.90878,1.2717
0.49307,1.0907
0.44299,-0.074395
0.40232,0.80934
1.7726,1.6857
-0.060308,0.46105
-0.24968,0.76801
0.25348,0.2983
0.88006,1.0573
0.37631,0.4073
0.79627,0.76989
1.2226,0.51768
0.17367,0.22141
0.83376,-0.14984
1.7561,0.58701
0.22243,1.759
-0.50759,1.2097
1.2562,0.60736
0.44604,0.099237
2.947,-0.31507
0.17951,1.6556
-0.10261,3.0717
1.3011,0.7011
1.8414,1.4874
0.60231,0.53798
0.49383,1.1252
0.68656,0.11055
0.86816,0.91549
0.31721,1.0414
-0.1995,0.6825
0.78733,0.39343
0.31745,3.2226
0.20254,0.76292
-0.12577,0.69191
0.14875,0.71722
0.41786,1.1275
0.40215,0.55005
0.80163,-0.17422
0.35905,1.7772
1.3704,0.098667
0.032891,0.77426
0.79371,0.95862
0.70695,1.8066
1.1687,1.5209
1.4853,0.1087
1.3905,0.046958
0.94132,1.2969
0.25981,1.1074
1.0454,0.54996
0.21647,0.14323
2.5383,0.40406
0.98125,-0.091322
0.48388,1.2699
0.68653,1.3146
1.115,-0.23805
1.1851,0.30033
1.5025,1.7471
0.6428,0.92133
1.4345,1.2728
0.61392,0.73822
0.24077,0.0037173
0.25421,0.15319
0.29047,1.3665
0.32859,0.9405
0.38762,0.79364
0.64637,1.2781
1.4502,0.20495
0.15294,-0.29122
1.3019,1.7052
1.186,0.46281
0.53377,0.9485
1.6044,0.38687
2.7676,0.94085
0.60348,0.42818
1.4484,0.91222
0.68686,1.4469
-0.11943,0.23797
0.9974,-0.15964
-0.06514,0.87717
0.28228,2.1123
0.62764,0.62757
2.4008,1.1358
